Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/2/16,-92497290.53509888,-1261.274091415628,861.242377293685,5814.899902,47.28787879,1.066,1.2477,113.36,2.45,4.564653073,-5.257142857,149.7543134
2017/2/17,-92497290.53509888,-1259.0922399845472,860.1713322010892,5838.580078,47.28787879,1.0614,1.2428,112.86,2.42,4.546460923,-5.695238095,149.7806866
2017/2/21,-92497290.53509888,-1254.7285458503445,858.0292465680418,5865.950195,47.28787879,1.0551,1.2465,113.48,2.43,4.528268774,-6.571428571,149.8334328
2017/2/22,-92497290.53509888,-1252.5466946392387,856.9582013298019,5860.629883,47.28787879,1.0555,1.2456,113.46,2.42,4.519172699,-7.00952381,149.859806
2017/2/23,-92497290.53509888,-1250.3648518563834,855.8871608106556,5835.509766,47.28787879,1.0586,1.2548,112.68,2.38,4.510076625,-7.447619048,149.8861791
2017/2/24,-92497290.53509888,-1248.1830005050358,854.8161156967545,5845.310059,47.28787879,1.058,1.2499,112.26,2.31,4.50098055,-7.885714286,149.9125522
2017/2/27,-92497290.53509888,-1246.0011577229725,853.7450751777204,5861.899902,47.28787879,1.0624,1.2473,112.01,2.36,4.491884475,-8.323809524,149.9389254
2017/2/28,-92497290.53509888,-1243.8193062918922,852.6740300851259,5825.439941,47.28787879,1.0618,1.2427,112.06,2.36,4.482788401,-8.761904762,149.9652985
2017/3/1,-92497290.53509888,-1241.650657285906,851.6742212731557,5904.029785,47.28787879,1.0564,1.2318,113.66,2.46,4.473692326,-9.2,149.9916716
2017/3/2,-92497290.53509888,-1239.4691705377656,850.6029316472733,5861.220215,47.28787879,1.0514,1.2267,114.45,2.49,4.473692326,-9.2,150.0180448
