Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2018/11/27,0.46127134,2018/11/26,0,0.474303701,0.142903975,0.155505644,0,0.598885794,0.580325158,0.233826638,0.683646113,0.03418745,0.280834915,0.161501431
2018/11/28,0.473837693,2018/11/27,0,0.47423808,0.142726276,0.155585628,0,0.579735376,0.558280518,0.239323467,0.680965147,0.03494347,0.281309298,0.161427383
2018/11/29,0.446191478,2018/11/28,0,0.474172458,0.142548574,0.175239614,0,0.581476323,0.568476164,0.241860465,0.680965147,0.035699489,0.281783681,0.161353336
2018/11/30,0.460014784,2018/11/29,0,0.474106836,0.142370875,0.173498069,0,0.614902507,0.574813998,0.230443975,0.672922252,0.036455508,0.281783681,0.161205241
2018/12/3,0.339376951,2018/11/30,0,0.474041215,0.142193175,0.178904356,0,0.594359331,0.570129512,0.232980973,0.667560322,0.037211527,0.280315352,0.161131194
2018/12/4,0.26272122,2018/12/3,0,0.485512007,0.127848571,0.189345263,0,0.605849582,0.561862772,0.232980973,0.659517426,0.037967546,0.278847023,0.161057146
2018/12/6,0.34943006,2018/12/4,0,0.485244773,0.127396793,0.162710902,0,0.602019499,0.555524938,0.220084567,0.64075067,0.038723565,0.277378693,0.160909051
2018/12/7,0.236332092,2018/12/6,0,0.485294563,0.127287494,0.165517505,0,0.612116992,0.571507302,0.210147992,0.63002681,0.038882494,0.274442035,0.160760958
2018/12/10,0.429855061,2018/12/7,0,0.485222082,0.127100467,0.144911338,0,0.617688022,0.563791678,0.213107822,0.624664879,0.039041422,0.272973706,0.160686911
2018/12/11,0.32052729,2018/12/10,0,0.485149601,0.126913442,0.149735226,0,0.610027855,0.511160099,0.220718816,0.624664879,0.039200351,0.271505376,0.160612863
2018/12/12,0.388385806,2018/12/11,0,0.485242178,0.127034874,0.150799366,0,0.591225627,0.501791127,0.230232558,0.63538874,0.03935928,0.270037047,0.160538816
2018/12/13,0.421059038,2018/12/12,0,0.486108107,0.127058156,0.157054327,0,0.607938719,0.5387159,0.227484144,0.64075067,0.039518208,0.268568718,0.160464768
2018/12/14,0.272774329,2018/12/13,0,0.486974036,0.127081437,0.15442175,0,0.606545961,0.532378066,0.23551797,0.64075067,0.039677137,0.267100389,0.160390721
2018/12/17,0.282827967,2018/12/14,0,0.487839964,0.127104719,0.139398743,0,0.586350975,0.514466795,0.228964059,0.63538874,0.039836066,0.265632059,0.160316673
