Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment,Pandemic1
0.000107558,0.585134354,0.28039504,0.580533229,0.480134457,0.447236181,0.369655172,0.632543103,0.576271186,0.349773463,0.535483871,0.123499969,0
0.000107558,0.585134355,0.28039504,0.57339376,0.480134457,0.281407035,0.353103448,0.676724138,0.457627119,0.349773461,0.535483871,0.123499969,0
0.000107558,0.58513437,0.280395007,0.570147804,0.480134457,0.447236181,0.587586207,0.657327586,0.559322034,0.349773463,0.535483871,0.12350031,0
0.000107558,0.585095265,0.280627919,0.558948139,0.480134457,0.452261307,0.546206897,0.629310345,0.474576271,0.352162643,0.51483871,0.123499969,0
0.000107558,0.585136366,0.280396529,0.550595633,0.477489392,0.414572864,0.4,0.575431034,0.423728814,0.350137041,0.519569892,0.123499969,0
0.000107558,0.58071337,0.283138599,0.562719529,0.480134457,0.545226131,0.422068966,0.600215517,0.525423729,0.35013704,0.519569892,0.12350031,0
0.000107558,0.589674141,0.286870302,0.540735923,0.480134457,0.515075377,0.550344828,0.673491379,0.474576271,0.350137041,0.519569892,0.123499969,0
0.000107558,0.589542627,0.286774261,0.568807849,0.480134457,0.497487437,0.477241379,0.604525862,0.508474576,0.350137041,0.519569892,0.033658738,0
0.000107558,0.589759699,0.286932818,0.559791146,0.480134457,0.434673367,0.35862069,0.595905172,0.576271186,0.350137041,0.519569892,0.131482533,0
0.000107558,0.589759719,0.286932826,0.562251913,0.480134457,0.497487437,0.507586207,0.644396552,0.491525424,0.35013704,0.519569892,0.131482533,0
0.000107558,0.589759704,0.286932859,0.552270646,0.480134457,0.542713568,0.571034483,0.493534483,0.423728814,0.350137041,0.519569892,0.131482874,0
0.000107558,0.58975972,0.286932827,0.542769123,0.480134457,0.515075377,0.502068966,0.60237069,0.440677966,0.350137041,0.519569892,0.131482533,0
0.000107558,0.589759699,0.286932818,0.542537853,0.480134457,0.570351759,0.510344828,0.590517241,0.440677966,0.35013704,0.519569892,0.131482533,0
0.000107558,0.598937475,0.290823104,0.590277586,0.480134457,0.59798995,0.569655172,0.540948276,0.542372881,0.348111439,0.524301075,0.229306328,0
0.000107558,0.58975972,0.286932827,0.556221694,0.480134457,0.638190955,0.731034483,0.617456897,0.372881356,0.350137041,0.519569892,0.131482533,0
0.000107558,0.589759683,0.28693285,0.568281851,0.480134457,0.525125628,0.507586207,0.695043103,0.559322034,0.35013704,0.519569892,0.131482874,0
0.000107558,0.589759719,0.286932826,0.591496265,0.480134457,0.650753769,0.536551724,0.654094828,0.559322034,0.350137041,0.519569892,0.131482533,0
0.000107558,0.58975972,0.286932827,0.556833995,0.480134457,0.361809045,0.415172414,0.595905172,0.508474576,0.350137041,0.519569892,0.131482533,0
0.000107558,0.589759704,0.286932859,0.602788436,0.480134457,0.904522613,0.48,0.695043103,0.576271186,0.35013704,0.519569892,0.131482533,0
0.000107558,0.589759699,0.286932818,0.584518967,0.480134457,0.761306533,0.553103448,0.746767241,0.627118644,0.350137041,0.519569892,0.131482533,0
0.000107558,0.589759719,0.286932826,0.560299375,0.480134457,0.349246231,0.482758621,0.692887931,0.457627119,0.350137041,0.519569892,0.131482874,0
0.000107558,0.589759704,0.286932859,0.574144823,0.480134457,0.502512563,0.550344828,0.581896552,0.474576271,0.350137041,0.519569892,0.131482533,0
0.000107558,0.58975972,0.286932827,0.559681434,0.480134457,0.600502513,0.547586207,0.657327586,0.491525424,0.35013704,0.519569892,0.131482533,0
0.000107558,0.589701064,0.287282135,0.585858922,0.480134457,0.565326633,0.451034483,0.660560345,0.576271186,0.350137041,0.519569892,0.131482533,0
0.000107558,0.589759704,0.286932859,0.562627303,0.480134457,0.51758794,0.485517241,0.654094828,0.440677966,0.352162643,0.51483871,0.131482533,0
0.000107558,0.589759797,0.286932884,0.547268449,0.480134457,0.547738693,0.473103448,0.654094828,0.576271186,0.349711958,0.511182796,0.131482533,0
0.000107558,0.580803511,0.283204498,0.562061257,0.480134457,0.640703518,0.471724138,0.662715517,0.559322034,0.34971196,0.511182796,0.131482874,0
0.000107558,0.585424242,0.276473677,0.575132514,0.480134457,0.595477387,0.535172414,0.61637931,0.508474576,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424259,0.276473645,0.561547386,0.480134457,0.351758794,0.468965517,0.646551724,0.559322034,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424243,0.276473678,0.570806077,0.480134457,0.389447236,0.475862069,0.769396552,0.559322034,0.34971196,0.511182796,0.131482533,0
0.000107558,0.585424259,0.276473645,0.56538844,0.480134457,0.51758794,0.48,0.605603448,0.491525424,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424242,0.276473677,0.552836693,0.480134457,0.512562814,0.405517241,0.596982759,0.474576271,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424243,0.276473678,0.563493719,0.480134457,0.665829146,0.473103448,0.573275862,0.406779661,0.34971196,0.511182796,0.131482874,0
0.000107558,0.585424259,0.276473646,0.57687691,0.480134457,0.655778894,0.531034483,0.649784483,0.525423729,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424242,0.276473677,0.572117545,0.480134457,0.756281407,0.473103448,0.591594828,0.491525424,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424243,0.276473678,0.468823417,0.480134457,0.67839196,0.524137931,0.432112069,0.322033898,0.34971196,0.511182796,0.131482533,0
0.000107558,0.585424259,0.276473646,0.585800822,0.480134457,0.512562814,0.569655172,0.554956897,0.525423729,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424222,0.276473669,0.576952213,0.480134457,0.673366834,0.492413793,0.693965517,0.508474576,0.349711958,0.511182796,0.131482874,0
0.000107558,0.585424258,0.276473645,0.589283971,0.480134457,0.638190955,0.463448276,0.589439655,0.542372881,0.34971196,0.511182796,0.131482533,0
0.000107558,0.585424243,0.276473678,0.563389648,0.480134457,0.427135678,0.449655172,0.676724138,0.576271186,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424243,0.276473678,0.574491446,0.480134457,0.464824121,0.412413793,0.66487069,0.457627119,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585424259,0.276473646,0.584847821,0.480134457,0.630653266,0.506206897,0.589439655,0.491525424,0.34971196,0.511182796,0.131482533,0
0.000107558,0.585424242,0.276473677,0.563297422,0.480134457,0.40201005,0.260689655,0.580818966,0.508474576,0.349711958,0.511182796,0.131482533,0
0.000107558,0.590266554,0.269904742,0.556406428,0.480134457,0.555276382,0.566896552,0.557112069,0.440677966,0.347261275,0.507526882,0.229306669,0
0.000107558,0.585424243,0.276473678,0.557752306,0.480134457,0.655778894,0.544827586,0.627155172,0.508474576,0.349711958,0.511182796,0.131482533,0
0.000107558,0.585365624,0.276822962,0.588354097,0.480134457,0.467336683,0.464827586,0.681034483,0.508474576,0.352162643,0.51483871,0.131482533,0
0.000107558,0.585419758,0.276470359,0.594511234,0.480134457,0.663316583,0.467586207,0.543103448,0.406779661,0.354612329,0.517634408,0.131482533,0
0.000107558,0.58080433,0.283205104,0.554604497,0.480134457,0.472361809,0.524137931,0.623922414,0.559322034,0.354612329,0.517634408,0.131482874,0
0.000107558,0.586367023,0.281471154,0.548539305,0.480134457,0.56281407,0.457931034,0.5,0.440677966,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367003,0.281471145,0.573341865,0.480134457,0.447236181,0.535172414,0.645474138,0.576271186,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367041,0.281471122,0.574531777,0.480134457,0.474874372,0.477241379,0.684267241,0.525423729,0.354612329,0.517634408,0.229306328,0
0.000107558,0.586367003,0.281471145,0.494694613,0.480134457,0.454773869,0.20137931,0.67887931,0.542372881,0.354612328,0.517634408,0.131482533,0
0.000107558,0.586367023,0.281471154,0.541700487,0.480134457,0.557788945,0.371034483,0.528017241,0.508474576,0.354612329,0.517634408,0.131482874,0
0.000107558,0.586367003,0.281471145,0.586390278,0.480134457,0.497487437,0.591724138,0.667025862,0.508474576,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367024,0.281471154,0.545732197,0.480134457,0.731155779,0.575172414,0.520474138,0.406779661,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367041,0.281471122,0.54347365,0.480134457,0.208542714,0.424827586,0.785560345,0.525423729,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367002,0.281471144,0.552513198,0.480134457,0.628140704,0.493793103,0.643318966,0.508474576,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367024,0.281471154,0.610846216,0.480134457,0.43718593,0.431724138,0.677801724,0.559322034,0.354612329,0.517634408,0.131482533,0
0.000107558,0.586367003,0.281471145,0.531003129,0.480134457,0.432160804,0.32137931,0.636853448,0.457627119,0.354612329,0.517634408,0.131482874,0
