Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/2/28,0.34943006,2017/2/27,0.468661373,0.525708383,0.458058286,0.570032168,0.480134457,0.633165829,0.444137931,0.596982759,0.593220339,0.340771849,0.495053763,0.12350031
2017/3/1,0.4072356,2017/2/28,0.468661373,0.525708378,0.45805829,0.539390045,0.480134457,0.507537688,0.416551724,0.629310345,0.508474576,0.34077185,0.495053763,0.123499969
2017/3/2,0.380845941,2017/3/1,0.468661373,0.618989127,0.348317404,0.605844019,0.480134457,0.386934673,0.329655172,0.796336207,0.677966102,0.340771849,0.495053763,0.123499969
2017/3/3,0.370792833,2017/3/2,0.468661373,0.52496972,0.457096294,0.535722444,0.480134457,0.396984925,0.409655172,0.709051724,0.559322034,0.352162643,0.51483871,0.12350031
2017/3/6,0.348173504,2017/3/3,0.468661373,0.5213477,0.453195868,0.565954205,0.480134457,0.618090452,0.455172414,0.640086207,0.508474576,0.349773463,0.535483871,0.123499969
2017/3/7,0.324296957,2017/3/6,0.468661373,0.518429575,0.454670088,0.547990744,0.480134457,0.608040201,0.471724138,0.550646552,0.508474576,0.349773461,0.535483871,0.123499969
2017/3/8,0.359483168,2017/3/7,0.468661373,0.518429574,0.454670081,0.551641141,0.480134457,0.512562814,0.433103448,0.631465517,0.559322034,0.349773463,0.535483871,0.12350031
2017/3/9,0.387129383,2017/3/8,0.468661373,0.518429563,0.454670093,0.562540437,0.480134457,0.434673367,0.40137931,0.6875,0.593220339,0.349773461,0.535483871,0.123499969
2017/3/10,0.377076274,2017/3/9,0.468661373,0.51842957,0.454670081,0.561177637,0.480134457,0.620603015,0.499310345,0.637931034,0.559322034,0.349773463,0.535483871,0.123499969
2017/3/13,0.369536277,2017/3/10,0.468661373,0.518429575,0.454670088,0.573688488,0.480134457,0.726130653,0.468965517,0.657327586,0.474576271,0.349773461,0.535483871,0.12350031
2017/3/14,0.383359053,2017/3/13,0.468661373,0.518429572,0.454670078,0.568565016,0.480134457,0.530150754,0.584827586,0.579741379,0.576271186,0.349773463,0.535483871,0.123499969
2017/3/15,0.421058376,2017/3/14,0.468661373,0.518429575,0.454670096,0.549498229,0.480134457,0.459798995,0.388965517,0.626077586,0.474576271,0.349773463,0.535483871,0.12350031
2017/3/16,0.344403837,2017/3/15,0.468661373,0.518429561,0.454670081,0.585419791,0.480134457,0.484924623,0.554482759,0.627155172,0.355932203,0.349773461,0.535483871,0.123499969
2017/3/17,0.355712839,2017/3/16,0.468661373,0.518429579,0.454670088,0.560859782,0.480134457,0.793969849,0.684137931,0.447198276,0.542372881,0.349773463,0.535483871,0.123499969
2017/3/20,0.377076274,2017/3/17,0.468661373,0.518429573,0.454670085,0.560588463,0.480134457,0.532663317,0.482758621,0.586206897,0.457627119,0.349773461,0.535483871,0.12350031
2017/3/21,0.35319986,2017/3/20,0.468661373,0.518429569,0.454670089,0.56075571,0.480134457,0.552763819,0.470344828,0.615301724,0.457627119,0.349773463,0.535483871,0.123499969
2017/3/22,0.397182359,2017/3/21,0.468661373,0.518429575,0.454670088,0.498241221,0.480134457,0.663316583,0.637241379,0.549568966,0.440677966,0.349773461,0.556129032,0.123499969
2017/3/23,0.346916948,2017/3/22,0.468661373,0.518429574,0.454670081,0.576513083,0.480134457,0.497487437,0.475862069,0.533405172,0.457627119,0.349773463,0.535483871,0.12350031
2017/3/24,0.33309351,2017/3/23,0.468661373,0.518429567,0.454670089,0.558168026,0.480134457,0.489949749,0.548965517,0.630387931,0.525423729,0.349773463,0.535483871,0.123499969
2017/3/27,0.392156136,2017/3/24,0.468661373,0.518429569,0.454670089,0.566832466,0.480134457,0.570351759,0.431724138,0.614224138,0.491525424,0.347384281,0.535483871,0.123499969
2017/3/28,0.367022636,2017/3/27,0.468661373,0.518429577,0.454670085,0.567167243,0.480134457,0.713567839,0.606896552,0.564655172,0.474576271,0.349773461,0.535483871,0.12350031
2017/3/29,0.390899182,2017/3/28,0.468661373,0.518429573,0.454670085,0.580533229,0.480134457,0.447236181,0.369655172,0.632543103,0.576271186,0.349773463,0.535483871,0.123499969
2017/3/30,0.372049918,2017/3/29,0.468661373,0.51842957,0.454670081,0.57339376,0.480134457,0.281407035,0.353103448,0.676724138,0.457627119,0.349773461,0.535483871,0.123499969
2017/3/31,0.351943171,2017/3/30,0.468661373,0.518429566,0.454670097,0.570147804,0.480134457,0.447236181,0.587586207,0.657327586,0.559322034,0.349773463,0.535483871,0.12350031
2017/4/3,0.373305944,2017/3/31,0.468661373,0.580616728,0.381509493,0.558948139,0.480134457,0.452261307,0.546206897,0.629310345,0.474576271,0.352162643,0.51483871,0.123499969
2017/4/4,0.382103159,2017/4/3,0.468661373,0.51934681,0.455864654,0.550595633,0.477489392,0.414572864,0.4,0.575431034,0.423728814,0.350137041,0.519569892,0.123499969
2017/4/5,0.350686616,2017/4/4,0.468661373,0.522229755,0.454344617,0.562719529,0.480134457,0.545226131,0.422068966,0.600215517,0.525423729,0.35013704,0.519569892,0.12350031
2017/4/6,0.359483168,2017/4/5,0.468661373,0.538727257,0.454725582,0.540735923,0.480134457,0.515075377,0.550344828,0.673491379,0.474576271,0.350137041,0.519569892,0.123499969
2017/4/7,0.368279191,2017/4/6,0.468661373,0.53945959,0.455709699,0.568807849,0.480134457,0.497487437,0.477241379,0.604525862,0.508474576,0.350137041,0.519569892,0.033658738
2017/4/10,0.36199681,2017/4/7,0.468661373,0.538250651,0.454085111,0.559791146,0.480134457,0.434673367,0.35862069,0.595905172,0.576271186,0.350137041,0.519569892,0.131482533
2017/4/11,0.355712839,2017/4/10,0.468661373,0.538250651,0.454085121,0.562251913,0.480134457,0.497487437,0.507586207,0.644396552,0.491525424,0.35013704,0.519569892,0.131482533
2017/4/12,0.368279721,2017/4/11,0.468661373,0.538250647,0.454085106,0.552270646,0.480134457,0.542713568,0.571034483,0.493534483,0.423728814,0.350137041,0.519569892,0.131482874
2017/4/13,0.364510054,2017/4/12,0.468661373,0.538250646,0.454085114,0.542769123,0.480134457,0.515075377,0.502068966,0.60237069,0.440677966,0.350137041,0.519569892,0.131482533
2017/4/17,0.384615609,2017/4/13,0.468661373,0.538250644,0.454085111,0.542537853,0.480134457,0.570351759,0.510344828,0.590517241,0.440677966,0.35013704,0.519569892,0.131482533
2017/4/18,0.34943006,2017/4/17,0.468661373,0.553504027,0.452795668,0.590277586,0.480134457,0.59798995,0.569655172,0.540948276,0.542372881,0.348111439,0.524301075,0.229306328
2017/4/19,0.340633507,2017/4/18,0.468661373,0.538250649,0.454085118,0.556221694,0.480134457,0.638190955,0.731034483,0.617456897,0.372881356,0.350137041,0.519569892,0.131482533
2017/4/20,0.385872827,2017/4/19,0.468661373,0.538250645,0.454085103,0.568281851,0.480134457,0.525125628,0.507586207,0.695043103,0.559322034,0.35013704,0.519569892,0.131482874
2017/4/21,0.356969792,2017/4/20,0.468661373,0.538250651,0.454085122,0.591496265,0.480134457,0.650753769,0.536551724,0.654094828,0.559322034,0.350137041,0.519569892,0.131482533
2017/4/24,0.382102762,2017/4/21,0.468661373,0.538250646,0.454085114,0.556833995,0.480134457,0.361809045,0.415172414,0.595905172,0.508474576,0.350137041,0.519569892,0.131482533
2017/4/25,0.372049389,2017/4/24,0.468661373,0.538250651,0.454085106,0.602788436,0.480134457,0.904522613,0.48,0.695043103,0.576271186,0.35013704,0.519569892,0.131482533
2017/4/26,0.380845941,2017/4/25,0.468661373,0.538250644,0.454085111,0.584518967,0.480134457,0.761306533,0.553103448,0.746767241,0.627118644,0.350137041,0.519569892,0.131482533
2017/4/27,0.370792965,2017/4/26,0.468661373,0.538250651,0.454085121,0.560299375,0.480134457,0.349246231,0.482758621,0.692887931,0.457627119,0.350137041,0.519569892,0.131482874
2017/4/28,0.377076142,2017/4/27,0.468661373,0.538250647,0.454085106,0.574144823,0.480134457,0.502512563,0.550344828,0.581896552,0.474576271,0.350137041,0.519569892,0.131482533
2017/5/1,0.351943171,2017/4/28,0.468661373,0.538250646,0.454085114,0.559681434,0.480134457,0.600502513,0.547586207,0.657327586,0.491525424,0.35013704,0.519569892,0.131482533
2017/5/2,0.348173504,2017/5/1,0.468661373,0.631531386,0.344344237,0.585858922,0.480134457,0.565326633,0.451034483,0.660560345,0.576271186,0.350137041,0.519569892,0.131482533
2017/5/3,0.351943304,2017/5/2,0.468661373,0.538250647,0.454085106,0.562627303,0.480134457,0.51758794,0.485517241,0.654094828,0.440677966,0.352162643,0.51483871,0.131482533
2017/5/4,0.367022768,2017/5/3,0.468661373,0.53828582,0.454130924,0.547268449,0.480134457,0.547738693,0.473103448,0.654094828,0.576271186,0.349711958,0.511182796,0.131482533
2017/5/5,0.373306342,2017/5/4,0.468661373,0.52383249,0.456412193,0.562061257,0.480134457,0.640703518,0.471724138,0.662715517,0.559322034,0.34971196,0.511182796,0.131482874
2017/5/8,0.365766212,2017/5/5,0.468661373,0.515922131,0.457397727,0.575132514,0.480134457,0.595477387,0.535172414,0.61637931,0.508474576,0.349711958,0.511182796,0.131482533
2017/5/9,0.360739724,2017/5/8,0.468661373,0.515922119,0.457397725,0.561547386,0.480134457,0.351758794,0.468965517,0.646551724,0.559322034,0.349711958,0.511182796,0.131482533
2017/5/10,0.32555391,2017/5/9,0.468661373,0.515922126,0.457397719,0.570806077,0.480134457,0.389447236,0.475862069,0.769396552,0.559322034,0.34971196,0.511182796,0.131482533
2017/5/11,0.370792833,2017/5/10,0.468661373,0.515922126,0.457397728,0.56538844,0.480134457,0.51758794,0.48,0.605603448,0.491525424,0.349711958,0.511182796,0.131482533
2017/5/12,0.36576661,2017/5/11,0.468661373,0.515922131,0.457397727,0.552836693,0.480134457,0.512562814,0.405517241,0.596982759,0.474576271,0.349711958,0.511182796,0.131482533
2017/5/15,0.383359053,2017/5/12,0.468661373,0.515922123,0.45739772,0.563493719,0.480134457,0.665829146,0.473103448,0.573275862,0.406779661,0.34971196,0.511182796,0.131482874
2017/5/16,0.30419074,2017/5/15,0.468661373,0.515922122,0.457397724,0.57687691,0.480134457,0.655778894,0.531034483,0.649784483,0.525423729,0.349711958,0.511182796,0.131482533
2017/5/17,0.323040799,2017/5/16,0.468661373,0.515922131,0.457397727,0.572117545,0.480134457,0.756281407,0.473103448,0.591594828,0.491525424,0.349711958,0.511182796,0.131482533
2017/5/18,0.368279456,2017/5/17,0.468661373,0.515922123,0.45739772,0.468823417,0.480134457,0.67839196,0.524137931,0.432112069,0.322033898,0.34971196,0.511182796,0.131482533
2017/5/19,0.399695868,2017/5/18,0.468661373,0.515922125,0.457397728,0.585800822,0.480134457,0.512562814,0.569655172,0.554956897,0.525423729,0.349711958,0.511182796,0.131482533
2017/5/22,0.326810069,2017/5/19,0.468661373,0.515922125,0.457397717,0.576952213,0.480134457,0.673366834,0.492413793,0.693965517,0.508474576,0.349711958,0.511182796,0.131482874
2017/5/23,0.372049786,2017/5/22,0.468661373,0.51592213,0.457397735,0.589283971,0.480134457,0.638190955,0.463448276,0.589439655,0.542372881,0.34971196,0.511182796,0.131482533
2017/5/24,0.35822648,2017/5/23,0.468661373,0.51592212,0.457397716,0.563389648,0.480134457,0.427135678,0.449655172,0.676724138,0.576271186,0.349711958,0.511182796,0.131482533
2017/5/25,0.38335945,2017/5/24,0.468661373,0.515922126,0.457397719,0.574491446,0.480134457,0.464824121,0.412413793,0.66487069,0.457627119,0.349711958,0.511182796,0.131482533
2017/5/26,0.367022901,2017/5/25,0.468661373,0.515922125,0.457397728,0.584847821,0.480134457,0.630653266,0.506206897,0.589439655,0.491525424,0.34971196,0.511182796,0.131482533
2017/5/30,0.368279589,2017/5/26,0.468661373,0.515922128,0.457397727,0.563297422,0.480134457,0.40201005,0.260689655,0.580818966,0.508474576,0.349711958,0.511182796,0.131482533
2017/5/31,0.434881814,2017/5/30,0.468661373,0.508846973,0.459420885,0.556406428,0.480134457,0.555276382,0.566896552,0.557112069,0.440677966,0.347261275,0.507526882,0.229306669
2017/6/1,0.377076274,2017/5/31,0.468661373,0.515922126,0.457397719,0.557752306,0.480134457,0.655778894,0.544827586,0.627155172,0.508474576,0.349711958,0.511182796,0.131482533
2017/6/2,0.348173239,2017/6/1,0.468661373,0.609202859,0.347656854,0.588354097,0.480134457,0.467336683,0.464827586,0.681034483,0.508474576,0.352162643,0.51483871,0.131482533
2017/6/5,0.345659995,2017/6/2,0.468661373,0.513877963,0.454735492,0.594511234,0.480134457,0.663316583,0.467586207,0.543103448,0.406779661,0.354612329,0.517634408,0.131482533
2017/6/6,0.334350198,2017/6/5,0.468661373,0.524205876,0.456898474,0.554604497,0.480134457,0.472361809,0.524137931,0.623922414,0.559322034,0.354612329,0.517634408,0.131482874
2017/6/7,0.360739724,2017/6/6,0.468661373,0.521427282,0.458114876,0.548539305,0.480134457,0.56281407,0.457931034,0.5,0.440677966,0.354612329,0.517634408,0.131482533
2017/6/8,0.338120395,2017/6/7,0.468661373,0.521427273,0.458114862,0.573341865,0.480134457,0.447236181,0.535172414,0.645474138,0.576271186,0.354612329,0.517634408,0.131482533
2017/6/9,0.497713842,2017/6/8,0.468661373,0.52142728,0.458114876,0.574531777,0.480134457,0.474874372,0.477241379,0.684267241,0.525423729,0.354612329,0.517634408,0.229306328
2017/6/12,0.360739724,2017/6/9,0.468661373,0.521427273,0.458114862,0.494694613,0.480134457,0.454773869,0.20137931,0.67887931,0.542372881,0.354612328,0.517634408,0.131482533
2017/6/13,0.354456548,2017/6/12,0.468661373,0.521427279,0.458114872,0.541700487,0.480134457,0.557788945,0.371034483,0.528017241,0.508474576,0.354612329,0.517634408,0.131482874
2017/6/14,0.38335945,2017/6/13,0.468661373,0.521427276,0.458114866,0.586390278,0.480134457,0.497487437,0.591724138,0.667025862,0.508474576,0.354612329,0.517634408,0.131482533
2017/6/15,0.384615874,2017/6/14,0.468661373,0.521427274,0.458114865,0.545732197,0.480134457,0.731155779,0.575172414,0.520474138,0.406779661,0.354612329,0.517634408,0.131482533
2017/6/16,0.389642494,2017/6/15,0.468661373,0.521427277,0.458114872,0.54347365,0.480134457,0.208542714,0.424827586,0.785560345,0.525423729,0.354612329,0.517634408,0.131482533
